,game_result,black_score,white_score,agent_black,agent_white
0,Black Wins,37,27,agent_0,agent_1
1,Black Wins,54,1,agent_1,agent_0
2,White Wins,18,46,agent_0,agent_2
3,Black Wins,50,14,agent_2,agent_0
4,White Wins,0,53,agent_0,agent_3
5,Black Wins,47,17,agent_3,agent_0
6,White Wins,21,43,agent_0,agent_4
7,Black Wins,53,11,agent_4,agent_0
8,Black Wins,34,30,agent_0,agent_5
9,Black Wins,50,14,agent_5,agent_0
10,White Wins,18,46,agent_0,agent_6
11,Black Wins,56,8,agent_6,agent_0
12,White Wins,15,49,agent_0,agent_7
13,Black Wins,54,10,agent_7,agent_0
14,White Wins,24,40,agent_0,agent_8
15,White Wins,30,34,agent_8,agent_0
16,White Wins,15,49,agent_0,agent_9
17,Black Wins,54,10,agent_9,agent_0
18,White Wins,28,36,agent_1,agent_2
19,Black Wins,57,0,agent_2,agent_1
20,White Wins,24,40,agent_1,agent_3
21,Black Wins,58,6,agent_3,agent_1
22,Black Wins,33,31,agent_1,agent_4
23,Black Wins,47,17,agent_4,agent_1
24,White Wins,16,48,agent_1,agent_5
25,White Wins,25,39,agent_5,agent_1
26,White Wins,0,59,agent_1,agent_6
27,Black Wins,48,16,agent_6,agent_1
28,Black Wins,45,19,agent_1,agent_7
29,Black Wins,63,0,agent_7,agent_1
30,White Wins,12,52,agent_1,agent_8
31,Black Wins,51,13,agent_8,agent_1
32,White Wins,0,59,agent_1,agent_9
33,Black Wins,48,16,agent_9,agent_1
34,White Wins,14,50,agent_2,agent_3
35,White Wins,23,41,agent_3,agent_2
36,Black Wins,52,0,agent_2,agent_4
37,White Wins,4,52,agent_4,agent_2
38,Black Wins,44,20,agent_2,agent_5
39,Black Wins,42,22,agent_5,agent_2
40,White Wins,21,43,agent_2,agent_6
41,Black Wins,45,19,agent_6,agent_2
42,White Wins,23,41,agent_2,agent_7
43,White Wins,14,50,agent_7,agent_2
44,Black Wins,55,0,agent_2,agent_8
45,White Wins,25,39,agent_8,agent_2
46,White Wins,21,43,agent_2,agent_9
47,Black Wins,45,19,agent_9,agent_2
48,Black Wins,56,8,agent_3,agent_4
49,White Wins,18,46,agent_4,agent_3
50,Black Wins,41,23,agent_3,agent_5
51,White Wins,17,47,agent_5,agent_3
52,Black Wins,41,23,agent_3,agent_6
53,Black Wins,34,30,agent_6,agent_3
54,Black Wins,52,12,agent_3,agent_7
55,Black Wins,36,28,agent_7,agent_3
56,Black Wins,44,0,agent_3,agent_8
57,White Wins,24,40,agent_8,agent_3
58,Black Wins,41,23,agent_3,agent_9
59,Black Wins,34,30,agent_9,agent_3
60,Black Wins,51,13,agent_4,agent_5
61,Black Wins,38,26,agent_5,agent_4
62,White Wins,10,54,agent_4,agent_6
63,Black Wins,51,13,agent_6,agent_4
64,White Wins,16,48,agent_4,agent_7
65,Black Wins,53,11,agent_7,agent_4
66,Black Wins,43,21,agent_4,agent_8
67,White Wins,28,36,agent_8,agent_4
68,White Wins,10,54,agent_4,agent_9
69,Black Wins,51,13,agent_9,agent_4
70,Black Wins,40,24,agent_5,agent_6
71,White Wins,29,35,agent_6,agent_5
72,White Wins,18,46,agent_5,agent_7
73,Black Wins,37,27,agent_7,agent_5
74,Black Wins,34,30,agent_5,agent_8
75,Black Wins,35,29,agent_8,agent_5
76,Black Wins,40,24,agent_5,agent_9
77,White Wins,29,35,agent_9,agent_5
78,Black Wins,49,15,agent_6,agent_7
79,White Wins,21,43,agent_7,agent_6
80,Black Wins,56,8,agent_6,agent_8
81,White Wins,31,33,agent_8,agent_6
82,Black Wins,43,21,agent_6,agent_9
83,Black Wins,43,21,agent_9,agent_6
84,Black Wins,33,31,agent_7,agent_8
85,White Wins,24,40,agent_8,agent_7
86,White Wins,29,35,agent_7,agent_9
87,Black Wins,49,15,agent_9,agent_7
88,White Wins,31,33,agent_8,agent_9
89,Black Wins,51,13,agent_9,agent_8
